service_id,date,exception_type
25014ILA_1401,20260102,1
25014ILA_1401,20260626,1
25014ILA_1402,20251226,1
25014ILA_1402,20260102,1
25014ILA_1402,20260626,1
25016ILB_1601,20251226,1
25016ILB_1601,20260102,1
25016ILB_1601,20260626,1
25016ILB_1602,20251226,1
25016ILB_1602,20260102,1
25016ILB_1602,20260626,1
25016ILB_1611,20251226,1
25016ILB_1611,20260102,1
25016ILB_1611,20260626,1
25016ILB_1612,20251226,1
25016ILB_1612,20260102,1
25016ILB_1612,20260626,1
25017ILA_1701,20251226,1
25017ILA_1701,20260102,1
25017ILA_1701,20260626,1
25017ILA_1702,20251226,1
25017ILA_1702,20260102,1
25017ILA_1702,20260626,1
25018ILA_1801,20251226,1
25018ILA_1801,20260102,1
25018ILA_1801,20260626,1
25018ILA_1802,20251226,1
25018ILA_1802,20260102,1
25018ILA_1802,20260626,1
25051ILB_5101,20251226,1
25051ILB_5101,20260102,1
25051ILB_5101,20260626,1
25051ILB_5102,20251226,1
25051ILB_5102,20260102,1
25051ILB_5102,20260626,1
25051ILB_5103,20251226,1
25051ILB_5103,20260102,1
25051ILB_5103,20260626,1
25051ILB_5104,20251226,1
25051ILB_5104,20260102,1
25051ILB_5104,20260626,1
25051ILB_5114,20251226,1
25051ILB_5114,20260102,1
25051ILB_5114,20260626,1
25052ILA_5201,20251226,1
25052ILA_5201,20260102,1
25052ILA_5201,20260626,1
25052ILA_5202,20251226,1
25052ILA_5202,20260102,1
25052ILA_5202,20260626,1
25052ILA_5203,20251226,1
25052ILA_5203,20260102,1
25052ILA_5203,20260626,1
25052ILA_5204,20251226,1
25052ILA_5204,20260102,1
25052ILA_5204,20260626,1
25061ILA_6101,20251226,1
25061ILA_6101,20260102,1
25061ILA_6101,20260626,1
25061ILA_6102,20251226,1
25061ILA_6102,20260102,1
25061ILA_6102,20260626,1
25062ILB_6201,20251226,1
25062ILB_6201,20260102,1
25062ILB_6201,20260626,1
25062ILB_6202,20251226,1
25062ILB_6202,20260102,1
25062ILB_6202,20260626,1
25062ILB_6211,20251226,1
25062ILB_6211,20260102,1
25062ILB_6211,20260626,1
25071ILA_7101,20251226,1
25071ILA_7101,20260102,1
25071ILA_7101,20260626,1
25071ILA_7102,20251226,1
25071ILA_7102,20260102,1
25071ILA_7102,20260626,1
